k_array Pk[0,:]
2.512310588857413415e-02 4.837379902150867565e+04
2.539101110773262643e-02 4.800302944668431883e+04
2.566177318729567086e-02 4.763198329246936919e+04
2.593542259196043170e-02 4.726067843609736883e+04
2.621199011129038414e-02 4.688892905636301293e+04
2.649150686317969586e-02 4.651656744277936377e+04
2.677400429735429452e-02 4.614367558682536765e+04
2.705951419891050938e-02 4.577054299314327363e+04
2.734806869189135292e-02 4.539746329436380620e+04
2.763970024290090047e-02 4.502490640581423941e+04
2.793444166475739232e-02 4.465355780061006226e+04
2.823232612018495777e-02 4.428409415750757034e+04
2.853338712554505385e-02 4.391703499581835058e+04
2.883765855460748706e-02 4.355263644900063809e+04
2.914517464236170141e-02 4.319111964708993037e+04
2.945596998886882562e-02 4.283271931359020527e+04
2.977007956315450010e-02 4.247771999061250972e+04
3.008753870714353865e-02 4.212640592565904808e+04
3.040838313963637254e-02 4.177904024736778229e+04
3.073264896032791224e-02 4.143583112119158613e+04
3.106037265386941276e-02 4.109696718669360416e+04
3.139159109397334640e-02 4.076262398430755275e+04
3.172634154756234781e-02 4.043293206425710378e+04
3.206466167896228348e-02 4.010800168123967887e+04
3.240658955413999037e-02 3.978793376095274289e+04
3.275216364498636373e-02 3.947277618469193112e+04
3.310142283364485988e-02 3.916254579102621210e+04
3.345440641688640637e-02 3.885725545917249110e+04
3.381115411053082359e-02 3.855687882825349516e+04
3.417170605391545851e-02 3.826135710281923093e+04
3.453610281441140545e-02 3.797062973771410179e+04
3.490438539198805618e-02 3.768457775758297794e+04
3.527659522382600027e-02 3.740301131424159394e+04
3.565277418897946221e-02 3.712574133365516172e+04
3.603296461308824056e-02 3.685262752060879575e+04
3.641720927313997491e-02 3.658361256050060183e+04
3.680555140228326805e-02 3.631864826880380133e+04
3.719803469469188523e-02 3.605749367785033974e+04
3.759470331048110625e-02 3.579939109101416398e+04
3.799560188067634819e-02 3.554351629046351445e+04
3.840077551223478047e-02 3.528950270921873744e+04
3.881026979312065389e-02 3.503878522157400585e+04
3.922413079743441999e-02 3.479321920688128739e+04
3.964240509059684114e-02 3.455409799849858973e+04
4.006513973458830646e-02 3.431943466564866685e+04
4.049238229324388788e-02 3.408602468108126050e+04
4.092418083760518410e-02 3.385099478335111780e+04
4.136058395132874432e-02 3.361406945836843806e+04
4.180164073615261211e-02 3.337644708417460788e+04
4.224740081742094089e-02 3.313925815719061211e+04
4.269791434966753452e-02 3.290265968714683549e+04
4.315323202225915256e-02 3.266600513090640015e+04
4.361340506509851778e-02 3.242864131750949673e+04
4.407848525438862186e-02 3.218993984474621539e+04
4.454852491845826684e-02 3.194941166130273996e+04
4.502357694364970270e-02 3.170670528511605517e+04
4.550369478026932563e-02 3.146148766224457358e+04
4.598893244860131208e-02 3.121343195387152082e+04
